county,embedding
Abbeville South Carolina,"-0.0289281475,0.021942901799999998,-0.0149603155,0.0161073655,-0.00144612815,-0.0010176748,0.042761337999999996,-0.012420617200000001,0.009186762000000001,0.024122434,0.0035923844999999994,0.0246034045,0.00916144395,-0.011407709149999999,-0.001994646,0.0140109326,0.0026653678,0.00137410835,-0.0086158995,0.00395964055,-0.011167320500000001,0.0028264002,-0.0037185838000000004,0.0011512240849999998,0.00267457785,-0.0142731565,0.0045902939,-0.01273549595,-0.00977348975,-0.0012845977499999998,-0.00536008695,-0.0003127258499999999,0.0006489830000000005,-0.0003897719499999999,0.009080920650000001,-0.0029952714500000002,0.0031523246499999998,0.00870583355,-0.0034277587,-0.0065319490000000004,-0.00254683312,-0.0018740978,0.0033905956,0.0011281336500000004,0.00131210929,-0.00357637675,-0.002941891575,0.001886300465,0.00453561366,-1.3421499"
Acadia Parish Louisiana,"0.01288235515,-0.061929900499999996,-0.016826424,0.0325396835,0.1514383685,0.091472633,0.09151120500000001,-0.0133346185,0.0316173825,0.0007914785000000014,-0.04625231,-0.054369412,0.08589853,0.06297959,0.022496225,0.0177898945,-0.016720040999999998,0.009512941,0.034683807500000004,0.0357710795,0.011643001,0.01600629,-0.018287172,-0.012557986,0.0013180399999999995,0.02569432785,0.020068994950000002,-0.020340306850000003,-0.010738193699999999,0.0247061945,0.0046059753499999995,0.030025319300000002,0.01265679165,-0.00135466135,-0.0117677977,-0.00819514445,-0.02103551845,-0.0011634878999999998,-0.00606308345797,0.02918807510385,-0.0037215333500000003,0.01080631565,-0.0065657923299999995,-0.00608001805,-0.009554214850000001,-0.0017942787499999999,0.026381660324999997,0.01565351632,0.01432040454,2.81745985"
Accomack Virginia,"-0.048456159,-0.031564699,0.0273240065,-0.004796084199999999,0.058357222,0.0596808925,0.10385067,0.0141370485,-0.0452167875,0.00104743365,0.025438288,-0.047751985999999996,-0.014651495,-0.01609483605,-0.0084149319,-0.00518344095,-0.0011444959,-0.0004643640000000001,0.00922413635,0.00693699395,0.0038715096,-0.007269330300000001,0.00024522370000000016,0.0006054089500000001,0.00023078348500000002,0.00660895975,-0.00604340045,-0.006340260300000001,-0.00504184425,0.005922357099999999,-0.00323873295,0.00782334305,0.00286025885,-0.0013783237999999997,0.0128557848,-0.005859447950000001,-0.00445421535,0.0033253460500000005,-0.0010995224000000005,0.00375967355,0.00342912475,0.00075546595,0.00799263936,0.0029576076,0.0016570100499999998,0.0007826873000000001,0.0056903066,0.00013839690000000003,-0.00450088584,0.67359575"
Ada Idaho,"0.0385975655,-0.042310881,0.042123088,-0.019200551000000003,-0.0374326685,-0.02056716,0.0078919786,0.005567384955,-0.015598401995,-0.0139151267,-0.00333080765,-0.009123308699999999,-0.0065249056,0.013256742685,-0.00904820735,-0.00742675475,-0.010910635299999999,0.0047909957,0.0072912998,-0.006413633950000001,0.00812600595,-0.0139840684,0.01561116575,-0.0165530019,0.00143044635,-0.00662202365,0.014997029200000001,-0.0116747289,0.004422338049999999,-0.003256530785,0.006909493,-0.008077549085,-0.00525067995,0.0030703855,0.01195551845,0.00446956055,0.0019234345999999997,0.00459133335,-0.00854675166,-0.00329798165,0.0038299796350000003,0.0008640360999999999,0.00152756869,-0.00038771244999999995,0.0083488489,0.008925581049999999,0.00867631533,-0.001814195628,-0.00606201791,-2.15722745"
Adair Iowa,"0.0017930927999999999,0.01804905365,0.00532836435,-0.00693546515,-0.014292474949999998,-0.02417669165,-0.03897863265,-0.015176241229999998,0.0481612607,-0.01394343675,-0.001035774235,-0.0411809219,0.0106034682,-0.006304761755000001,-0.00306527315,-0.01604196755,0.0018317494599999996,-0.00740199025,0.00045683654499999995,0.0131256955,-0.005064877440000001,-0.0035070417799999997,-0.0018689558900000002,-0.02475376335,0.0010757524875000001,-0.003193497295,-0.001117361843,0.00017481004000000013,-0.0032008977149999996,-0.003090474145,0.010399203365,0.0002043907315,-0.01078690712,0.008647858034,0.006713571005,0.0006881628925,-0.007428181352,0.0001608546605,0.009670550755,-0.0025562361400000002,0.001209816275,3.670247575e-05,-0.002091754,-0.001217721105,0.002443297505,-0.0114218195,0.015805498809,-0.0025566973475,-0.0100406671445,-1.35628753"
Adair Kentucky,"-0.014804081699999999,-0.0298839402,-0.025125147,0.01742363605,0.006456475485,-0.017475126015000002,-0.003985819156,-0.02079174875,-0.0027893323,-0.0132011464,-0.0138823766,0.004073043945,-0.0080591217,0.01122745185,-0.007143966224999999,0.014390112625,0.00482030179,-0.001007897905,0.0016546126049999997,0.0047939003,0.00019646517450000003,-0.016543503755,0.0031822497849999997,0.00173752024,0.006083384865,-0.009879535,-0.002149149500000001,-0.004308324549500001,0.00090832775,0.006681628660000001,-0.0018502326949999997,-0.008268913895,0.0008203639299999999,-0.011024970465,0.0008943877669999999,0.0020920849,0.01649305796,0.006149770898,0.0028822618294,-0.0063692747715,0.006518791135,0.0039622469999999995,0.00896356231705,-0.0008702026035,0.0022460347139500003,-0.0002308029325,0.0050814872595000005,-0.007050149719,-0.0036204997155,2.3145087899999996"
Adair Missouri,"0.007490773999999999,0.00010678450000000013,-0.027511425000000003,0.020156662500000002,-0.0015829955,-0.02088783,-0.0238743115,0.015611953500000001,0.0130054093,0.012353270500000001,0.0173132405,-0.009763434,0.00015176144999999998,-0.0003190835500000008,0.014651083399999999,-0.00661918635,0.00285707435,-0.00559074295,0.0052643870499999995,-0.0033548311,-0.00585351225,0.00360980415,0.0091037901,-0.0074203488000000005,0.0058485516,-0.002606643,0.0004398569999999999,-0.0022540552500000003,-0.0063466302,0.0025245744,0.00234846845,0.00166379278,-0.0036478427,-0.0038569877649999996,0.0022386228000000003,-0.0007717020000000001,-0.00195304545,-0.0053192058055,-0.0015787743550000001,-0.0030405112,0.000710921495,0.0021394177849999997,0.00201011457,-0.0063085432845,0.0022212775599999997,-0.00318140107,-0.01053152519605,-0.00387178993,0.001552044265,-1.0724390000000001"
Adair Oklahoma,"0.0439581936,0.01852911525,0.0059195887499999995,0.0133807624,-0.008312766895,-0.02919899485,-0.016470737935,0.0329904575,-0.0215564361,-0.0076836683,-0.01212701247,-0.00473641674,-0.0029256069000000006,0.0033880618900000003,0.007810002895000001,0.002114880115,-0.0056113709999999995,0.00428737756,-0.010101601719999999,0.0184285385,0.009340243540000001,0.0011675446000000006,0.010905555684999999,0.005389577734,-0.004955005815,-0.0016505446999999997,-0.0042609774625,0.010832185849999999,-0.0051935191749999995,0.0062178747065,0.004607727985,0.003496643096,-0.0035191176084,-0.002186216295,0.0028548090215000004,0.005436628475,-0.011871158154999999,-0.0029364185745,-0.0050570004475,-0.00017898403525,-0.0034297339720000004,0.003923524173499999,0.0011389352364,0.0029918593645,-0.0001423447975,0.00120743076235,-0.0066459519080000005,-0.005245441970500001,-0.00273711763825,4.094628419999999"
Adams Colorado,"0.06302068499999999,-0.0637701545,-0.0027360255000000028,0.037702343,0.006608499500000002,-0.019184519,-0.027885438,-0.015200191,0.0020491085000000006,-0.00503605495,0.0139093545,0.00115788474,0.0076012116,0.0049938781,0.0055956384,-0.0013756819999999996,-0.01223903005,-0.006023976899999999,0.0090687435,-0.010198282199999999,-0.0027737547,-0.0096642163,0.0031881218,-0.00433483205,0.005998828899999999,0.009910565100000001,-0.0007220114499999999,0.00542967485,0.0051173722,0.00480042025,0.00852925695,0.00217262955,0.0024690901499999996,0.0017886282500000003,0.0011137791,-0.01444884452,-0.007062223100000001,-0.00206826795,0.0152700087,0.00404462925,0.004173363094999999,-0.0065035860000000004,-0.00520391745,-0.0016236015000000003,-0.00059997785,0.0021737831,0.004229539195,-0.0044288125000000005,-0.0020625694,1.33395715"
Adams Idaho,"0.068529625,0.030497803700000003,0.034517011,-0.030824901,-0.004213687000000001,-0.003788752000000001,-0.0003711449999999998,-0.018048786,-0.0221781225,-0.0017022156000000002,-0.018702824,0.0254468235,0.0004166271000000002,-0.022956922,0.014258879,0.00488645745,-0.00031463210000000005,-0.0008880503499999999,-0.0062973976,0.01832839315,-0.00579244245,0.00852505565,0.000962932183,0.0033525562,0.0016005951999999999,-0.017107159900000002,-0.005346394250000001,-0.00027473345000000003,0.0006260524499999999,-0.0007819288500000004,-0.01446392835,0.0010370391,0.00255204335,0.008702843559,-0.0002114519000000004,0.0023557223,-0.007614849050000001,-0.013098903500000002,0.0064183695,0.0024116897500000003,0.006285088725,-0.01231342325,-0.0088415721,-0.00407250395,4.77311e-05,0.01431551275,0.00641891065,-0.0005494638000000003,0.0065569921465,2.6123454"
