"Ethnic Origin (279), Single and Multiple Ethnic Origin Responses (3), Generation Status (4), Age (12) and Sex (3) for the Population in Private Households of Canada, Provinces and Territories, Census Metropolitan Areas and Census Agglomerations, 2016 Census - 25% Sample Data"
"Geography = Alma"
"Global non-response rate (GNR) =   4.8 %"
"Generation status (4) = Total - Generation status [1]"
"Age (12) = Total - Age"
"Sex (3) = Total - Sex"
"Ethnic origin (279)","Total - Single and multiple ethnic origin responses [2]","  Single ethnic origin responses [3]","  Multiple ethnic origin responses [4]", 
"Total - Ethnic origin [5]",31805,25710,6100 
"  North American Aboriginal origins",1785,680,1105 
"    First Nations (North American Indian)",1205,430,780 
"    Inuit",15,10,10 
"    Métis",605,240,365 
"  Other North American origins",27010,21635,5380 
"    Acadian",155,60,95 
"    American",65,25,45 
"    Canadian",26145,20950,5200 
"    New Brunswicker",0,0,0 
"    Newfoundlander",10,0,0 
"    Nova Scotian",10,0,0 
"    Ontarian",0,0,0 
"    Québécois",895,595,300 
"    Other North American origins, n.i.e. [6]",0,0,0 
"  European origins",8460,3140,5320 
"    British Isles origins",1255,300,955 
"      Channel Islander",0,0,0 
"      Cornish",0,0,0 
"      English",220,10,210 
"      Irish",760,190,570 
"      Manx",0,0,0 
"      Scottish",360,100,260 
"      Welsh",0,0,0 
"      British Isles origins, n.i.e. [7]",15,0,20 
"    French origins",7215,2615,4605 
"      Alsatian",0,0,0 
"      Breton",35,15,20 
"      Corsican",0,0,0 
"      French",7190,2600,4590 
"    Western European origins (except French origins)",265,55,215 
"      Austrian",10,0,0 
"      Bavarian",0,0,0 
"      Belgian",80,20,55 
"      Dutch",25,10,25 
"      Flemish",0,0,0 
"      Frisian",0,0,0 
"      German",130,20,110 
"      Luxembourger",0,0,0 
"      Swiss",30,15,15 
"      Western European origins, n.i.e. [8]",0,0,0 
"    Northern European origins (except British Isles origins)",30,10,25 
"      Danish",0,0,0 
"      Finnish",0,0,0 
"      Icelandic",0,0,0 
"      Norwegian",10,0,10 
"      Swedish",20,0,15 
"      Northern European origins, n.i.e. [9]",10,0,0 
"    Eastern European origins",135,35,100 
"      Bulgarian",0,0,0 
"      Byelorussian",0,0,0 
"      Czech",0,0,10 
"      Czechoslovakian, n.o.s. [10]",0,0,0 
"      Estonian",0,0,0 
"      Hungarian",0,0,0 
"      Latvian",0,0,0 
"      Lithuanian",0,0,0 
"      Moldovan",0,0,0 
"      Polish",75,0,70 
"      Romanian",20,15,0 
"      Russian",50,15,40 
"      Slovak",0,0,0 
"      Ukrainian",0,0,0 
"      Eastern European origins, n.i.e. [11]",0,0,0 
"    Southern European origins",235,95,140 
"      Albanian",0,0,0 
"      Bosnian",0,0,0 
"      Catalan",0,0,0 
"      Croatian",0,0,0 
"      Cypriot",0,0,0 
"      Greek",0,0,0 
"      Italian",195,80,120 
"      Kosovar",0,0,0 
"      Macedonian",0,0,0 
"      Maltese",0,0,0 
"      Montenegrin",0,0,0 
"      Portuguese",25,10,10 
"      Serbian",0,0,0 
"      Sicilian",0,0,0 
"      Slovenian",0,0,0 
"      Spanish",20,0,15 
"      Yugoslavian, n.o.s. [12]",0,0,0 
"      Southern European origins, n.i.e. [13]",0,0,0 
"    Other European origins",50,35,10 
"      Basque",0,0,0 
"      Jewish",0,0,10 
"      Roma (Gypsy)",0,0,0 
