,0,1,county
128,-99.7733181,29.300357,Uvalde Texas
129,-91.3026986,33.2536665,Chicot Arkansas
130,-97.7485096,27.3983129,Kleberg Texas
131,-90.4120889,32.770896,Yazoo Mississippi
132,-79.3987578,34.0572007,Marion South Carolina
133,-105.4752945,31.5388627,Hudspeth Texas
134,-83.694562,32.8095879,Bibb Georgia
135,-77.8670883,36.7788996,Brunswick Virginia
136,-90.1577411,33.9414425,Tallahatchie Mississippi
137,-81.1131228,34.4091797,Fairfield South Carolina
138,-80.4989467,25.6364246,Miami-Dade Florida
139,-89.8739775,35.1782557,Shelby Tennessee
140,-77.66834,36.2494056,Halifax North Carolina
141,-109.7852018,37.5859438,San Juan Utah
142,-90.7263194,35.0153956,St. Francis Arkansas
143,-76.37006108562697,36.8313802,Portsmouth city Virginia
144,-78.1052123,36.3901694,Warren North Carolina
145,-101.5295291,31.3458428,Reagan Texas
146,-82.7748026,32.9619979,Washington Georgia
147,-79.6742033,34.5810346,Marlboro South Carolina
148,-104.482834,31.4622625,Culberson Texas
149,-107.9398474,34.8722771,Cibola New Mexico
150,-91.3708695,31.9834216,Tensas Parish Louisiana
151,-95.8142911,47.3313602,Mahnomen Minnesota
152,-91.3297733,31.4904067,Adams Mississippi
153,-90.4093394,31.1712493,Pike Mississippi
154,-159.55876775017003,22.050466550000003,Kauai Hawaii
155,-102.8065415,30.7857437,Pecos Texas
156,-78.4140945,36.3747423,Vance North Carolina
157,-84.1862464,32.0485072,Sumter Georgia
158,-84.6389937,30.5937346,Gadsden Florida
159,-87.7569365,32.201002,Marengo Alabama
160,-77.027847,38.4991611,Charles Maryland
161,-81.1237271,32.7861789,Hampton South Carolina
162,-89.1132111,32.0216075,Jasper Mississippi
163,-90.5276838,30.1141748,St. John the Baptist Parish Louisiana
164,-82.436141,33.0380388,Jefferson Georgia
165,-79.39165039327992,36.586054000000004,Danville city Virginia
166,0.0,0.0,Do�a Ana New Mexico
167,-101.3766686,30.6517377,Crockett Texas
168,-84.8483149,32.0732743,Stewart Georgia
169,-77.31893695798695,38.8544622,Hampton city Virginia
170,-107.7682754,32.1345966,Luna New Mexico
171,-97.6199942,27.7153774,Nueces Texas
172,-110.3549451,35.1819775,Navajo Arizona
173,-156.8753867,58.7370341,Bristol Bay Borough Alaska
174,-89.287824,35.5675653,Haywood Tennessee
175,-93.0097229,32.8218607,Claiborne Parish Louisiana
176,-118.852583,36.2516475,Tulare California
177,-102.768021,34.4901153,Parmer Texas
178,-155.42837009716908,19.593801499999998,Hawaii Hawaii
179,-118.5934644,46.9723633,Adams Washington
180,-90.4798717,31.8563532,Copiah Mississippi
181,-102.5163544,31.4486118,Crane Texas
182,-84.9282058,31.3454341,Early Georgia
183,-98.5316314,28.8554434,Atascosa Texas
184,-114.47603157249804,32.665135,Yuma Arizona
185,-93.8931785,32.529173,Caddo Parish Louisiana
186,178.8776,51.5672222,Aleutians West Census Area Alaska
187,-84.7622973,33.6995565,Douglas Georgia
188,-89.9601925,34.3793392,Panola Mississippi
189,-102.833579,33.1536951,Yoakum Texas
190,-83.8253817,32.1542383,Dooly Georgia
191,-102.8149372,34.0349194,Bailey Texas
192,-102.2592314,34.4952536,Castro Texas
193,-90.6932182,30.8080103,St. Helena Parish Louisiana
194,-100.4165707,29.326416,Kinney Texas
195,-80.9176832,34.0190006,Richland South Carolina
196,-100.53841807826248,30.51216325,Sutton Texas
197,-84.8502167,32.4840651,Muscogee Georgia
198,-90.7975574,32.3649516,Warren Mississippi
199,-102.5794339,31.8941755,Ector Texas
200,-80.0958187,34.9705848,Anson North Carolina
201,-85.4032078,31.8589311,Barbour Alabama
202,-91.3110517,33.7740219,Desha Arkansas
203,-77.0605098,37.3705777,Charles City Virginia
204,-80.3237032,33.8998826,Sumter South Carolina
205,-84.1367771,33.4519942,Henry Georgia
206,-76.6215245,35.8725573,Washington North Carolina
207,-82.7031639,33.2200196,Mitchell Georgia
208,-100.8928434,37.1850331,Seward Kansas
209,-85.0154412,31.8769847,Quitman Georgia
210,-83.8446101,33.5715512,Newton Georgia
211,-79.3864339,34.4014089,Dillon South Carolina
212,-101.2765537,34.0266015,Floyd Texas
213,-77.43531346016712,37.5433591,Richmond city Virginia
214,-79.8750387,36.6909706,Martinsville city Virginia
215,-75.1635262,39.9527237,Philadelphia Pennsylvania
216,-108.3046555,36.4755752,San Juan New Mexico
217,-84.2961283,34.0580391,Fulton Georgia
218,-89.4725635,34.7329208,Marshall Mississippi
219,-97.7191838,28.3871179,Bee Texas
220,-102.805677,33.5905096,Cochran Texas
221,-98.5104781,29.4263987,Bexar Texas
222,-105.4182008,37.2367948,Costilla Colorado
223,-106.8503919,34.7325886,Valencia New Mexico
224,-74.2479444,40.7913922,Essex New Jersey
225,-99.8581638,43.9176386,Lyman South Dakota
226,-85.1959487,32.2698458,Russell Alabama
227,-81.9575983,33.0482247,Burke Georgia
228,-86.9437104,31.3966783,Conecuh Alabama
229,-89.0495278,33.0603103,Winston Mississippi
230,-122.2209563,39.1465578,Colusa California
231,-81.483441,31.8031632,Liberty Georgia
232,-101.8088827,34.0321298,Hale Texas
233,-97.50204408532724,28.0003594,San Patricio Texas
234,-103.0762299,31.8005913,Winkler Texas
235,-80.2277002,33.6653463,Clarendon South Carolina
236,-79.4903372,34.8628902,Scotland North Carolina
237,-120.7678602,37.1641544,Merced California
238,0.0,0.0,Hoonah-Angoon Census Area Alaska
239,-94.9950063,35.9158661,Cherokee Oklahoma
240,-121.6846349,37.2333253,Santa Clara California
241,-103.3828242,32.7448727,Lea New Mexico
242,-91.3133623,30.2120844,Iberville Parish Louisiana
243,-89.5241292,32.7401114,Leake Mississippi
244,-121.1177379,36.6248089,San Benito California
245,-108.7598468,31.801493,Hidalgo New Mexico
246,-89.6182472,33.5074528,Montgomery Mississippi
247,-100.3457636,29.9116617,Edwards Texas
248,-81.4190808,33.2641009,Barnwell South Carolina
249,-106.6296053,46.3894251,Rosebud Montana
250,-97.0000238,45.6000291,Roberts South Dakota
251,-82.2797719,33.8795325,McCormick South Carolina
252,-86.6754793,31.7340713,Butler Alabama
253,-77.29777883663942,37.3103824,Hopewell city Virginia
254,-104.5133481,33.2993426,Chaves New Mexico
255,-119.7737991,37.1716264,Madera California
256,-101.9576048,32.7410762,Dawson Texas
257,-100.5418961,30.8791222,Schleicher Texas
258,-88.9357382,33.9137474,Chickasaw Mississippi
259,-87.8192486,31.659134,Clarke Alabama
260,-121.814986,36.639229,Monterey California
261,-90.203686,38.624223,St. Louis city Missouri
262,-101.2855737,33.5778818,Crosby Texas
263,-81.9613566,32.7793141,Jenkins Georgia
264,-81.1437541,28.0443842,Osceola Florida
265,-83.8350733,32.5543462,Peach Georgia
266,-73.86247702352559,40.7372329,Queens New York
267,-88.689636,32.3905206,Lauderdale Mississippi
268,-90.7989525,30.0096684,St. James Parish Louisiana
269,-89.5680661,33.0777868,Attala Mississippi
270,-97.9062893,28.8791858,Karnes Texas
271,-88.4108384,33.4466925,Lowndes Mississippi
272,-101.9104355,35.8156121,Moore Texas
273,-83.77777,31.9152265,Crisp Georgia
274,-84.5473105,32.050618,Webster Georgia
275,-102.3328121,33.1514254,Terry Texas
276,-76.28550011490168,36.84603455,Norfolk city Virginia
277,-103.7873945,35.8996832,Harding New Mexico
278,-79.78017904453355,34.174608750000004,Florence South Carolina
279,-99.8943146,37.7072469,Ford Kansas
280,-88.9963359,35.1743058,Hardeman Tennessee
281,-105.573284,36.4072377,Taos New Mexico
282,-82.7385978,33.7898432,Wilkes Georgia
283,-118.8935483,46.5654696,Franklin Washington
284,-90.1197687,31.1241919,Walthall Mississippi
285,-102.6042447,32.2690953,Andrews Texas
286,-77.6484879,35.2590371,Lenoir North Carolina
287,-102.3429233,34.0321667,Lamb Texas
288,-86.9164513,33.5228184,Jefferson Alabama
289,-84.4555346,31.3439196,Baker Georgia
290,-100.8138152,36.2559217,Ochiltree Texas
291,-73.8542895,43.1509069,Kings New York
292,-76.42977,36.9775016,Newport News city Virginia
293,-89.7674875,33.772401,Grenada Mississippi
294,0.0,0.0,Prince of Wales-Hyder Census Area Alaska
295,-87.3781004,31.5593935,Monroe Alabama
296,-76.6241825,36.7427673,Suffolk city Virginia
297,-119.78483,36.7394421,Fresno California
298,-102.0386055,31.3720387,Upton Texas
299,-122.4193286,37.7792588,San Francisco California
300,-81.1520667,26.597094,Hendry Florida
301,-118.753822,35.3145701,Kern California
302,-93.1427138,31.6464192,Natchitoches Parish Louisiana
303,-103.0781186,31.5007583,Ward Texas
304,-79.2432785,35.0271856,Hoke North Carolina
305,-119.7956342,36.0784807,Kings California
306,-91.2289578,34.6778982,Monroe Arkansas
307,-121.899142,37.6090291,Alameda California
308,-77.9755309,35.992983,Nash North Carolina
309,-81.0626008,31.9668887,Chatham Georgia
310,-83.2633216,33.0869398,Baldwin Georgia
311,-78.8394255,35.0461723,Cumberland North Carolina
312,-88.1244034,33.2948421,Pickens Alabama
313,-92.9355875,33.5680929,Ouachita Arkansas
314,-91.8105911,32.4196791,Richland Parish Louisiana
315,-81.0414726,32.4048602,Jasper South Carolina
316,-79.9438572,34.3609331,Darlington South Carolina
317,-91.4016657,30.8842729,West Feliciana Parish Louisiana
318,-116.0833144,34.8253019,San Bernardino California
319,-97.5959641,29.8298971,Caldwell Texas
320,-88.2821326,31.9908095,Choctaw Alabama
321,-85.3866953,32.8901658,Chambers Alabama
322,-77.0948861,35.8134443,Martin North Carolina
323,-77.6728536,35.481724,Greene North Carolina
324,-106.8930799,34.0572858,Socorro New Mexico
325,-77.9175714,35.7059114,Wilson North Carolina
326,-74.0550731,40.7381635,Hudson New Jersey
327,-99.1126826,29.2836281,Medina Texas
328,-82.4830204,33.4631845,McDuffie Georgia
329,-84.5740953,30.8736613,Decatur Georgia
330,-106.1655431,37.1851939,Conejos Colorado
331,-102.0974881,30.1990738,Terrell Texas
332,-80.01019643480764,40.32627975,Refugio Texas
333,-97.5108636,29.4436555,Gonzales Texas
334,-96.6736551,28.5031572,Calhoun Texas
335,-91.0405799,30.8462165,East Feliciana Parish Louisiana
336,-108.3634144,32.7548776,Grant New Mexico
337,-90.8217568,31.1729865,Amite Mississippi
338,-120.510842,46.601557,Yakima Washington
339,-75.8745873,38.0630795,Somerset Maryland
340,-81.6272037,32.7623379,Screven Georgia
341,-101.287742,33.1414018,Garza Texas
342,-100.8199963,38.0452481,Finney Kansas
343,-105.938456,35.6876096,Santa Fe New Mexico
344,-106.6870693,35.0349239,Bernalillo New Mexico
345,-83.4351636,32.6467914,Twiggs Georgia
346,-84.6717803,33.0373582,Meriwether Georgia
347,-101.3621472,36.2563401,Hansford Texas
348,-104.6118941,36.5571762,Colfax New Mexico
349,-88.8937318,33.4131096,Oktibbeha Mississippi
350,-101.3067042,37.553026,Grant Kansas
351,-78.0583926,37.1489448,Nottoway Virginia
352,-101.9190317,32.2675039,Martin Texas
353,-95.7807348,29.511218,Fort Bend Texas
354,-118.242766,34.0536909,Los Angeles California
355,-83.6214408,31.7031592,Turner Georgia
356,-88.6858852,31.6212491,Wayne Mississippi
357,-92.0035057,30.6174002,St. Landry Parish Louisiana
358,-79.7888515,36.0875688,Guilford North Carolina
359,-92.6853662,33.9630776,Dallas Arkansas
360,-89.6991703,34.0213455,Yalobusha Mississippi
361,-89.5092509,32.3805744,Scott Mississippi
362,-82.7567324,32.112996,Wheeler Georgia
363,-98.6162758,43.2257871,Charles Mix South Dakota
364,-121.2773719,37.9372901,San Joaquin California
365,-91.0899217,30.5254797,East Baton Rouge Parish Louisiana
366,-102.3110415,33.5714311,Hockley Texas
367,-80.7603948,33.6567769,Calhoun South Carolina
368,-83.3835912,42.2825041,Wayne Michigan
369,-91.6714379,31.3941887,Concordia Parish Louisiana
370,-85.9259465,31.7615793,Pike Alabama
371,-104.345259,32.4003136,Eddy New Mexico
372,-116.0372472,33.7219991,Riverside California
373,-83.2628255,30.8195619,Lowndes Georgia
374,-92.3003472,34.7550166,Pulaski Arkansas
375,-76.895924,37.1118778,Surry Virginia
376,-82.9339377,31.9182328,Telfair Georgia
377,-121.0501425,37.5500871,Stanislaus California
378,-92.1615004,32.4790511,Ouachita Parish Louisiana
379,-101.812592,33.1474257,Lynn Texas
380,-119.702667,34.4221319,Santa Barbara California
381,-84.0227467,33.9566869,Gwinnett Georgia
382,-122.3330573,37.496904,San Mateo California
383,-89.1960486,34.8277278,Benton Mississippi
384,-83.4524524,30.4514352,Madison Florida
385,-78.9018053,35.996653,Durham North Carolina
386,-90.0040817,32.6308318,Madison Mississippi
387,-105.7890452,37.5780995,Alamosa Colorado
388,-102.3603325,48.230321,Mountrail North Dakota
389,-80.677114,32.8620726,Colleton South Carolina
390,-82.9388938,32.4239975,Laurens Georgia
391,-101.4953594,36.7390314,Texas Oklahoma
392,-88.852119,35.6055887,Madison Tennessee
393,-102.616685,36.3127064,Dallam Texas
394,-81.1545073,34.6859896,Chester South Carolina
395,-76.2149621,36.2280793,Pasquotank North Carolina
396,-90.0875933,35.7547987,Mississippi Arkansas
397,-94.1704496,29.834772,Jefferson Texas
398,-89.2398601,31.1540772,Forrest Mississippi
399,-96.7968559,32.7762719,Dallas Texas
400,-85.0254022,33.0237625,Troup Georgia
401,-153.3574124,57.5433765,Kodiak Island Borough Alaska
402,-95.3741247,29.8119769,Harris Texas
403,-80.26719273440247,36.04091905,Taylor Georgia
404,-103.4183431,35.1439219,Quay New Mexico
405,-93.3111105,32.0835604,Red River Parish Louisiana
406,-76.9326385,37.9140592,Essex Virginia
407,-109.2751297,33.2312681,Greenlee Arizona
408,-112.361997,44.2761996,Clark Idaho
409,-83.1623561,32.7924994,Wilkinson Georgia
410,-83.466275,35.45819,Swain North Carolina
411,-93.2344337,33.1938586,Columbia Arkansas
412,-91.3261882,30.4514623,West Baton Rouge Parish Louisiana
413,-102.0103767,31.83688,Midland Texas
414,-76.2126146,35.8217079,Tyrrell North Carolina
415,-77.3707461,35.611481,Pitt North Carolina
416,-103.2400734,29.8462742,Brewster Texas
417,-77.4420197,38.7663953,Manassas Park city Virginia
418,-83.4379708,31.960784,Wilcox Georgia
419,-78.5627714,34.627971,Bladen North Carolina
420,-74.3177933,41.0461864,Passaic New Jersey
421,-97.0828487,41.5738643,Colfax Nebraska
422,-84.2770865,33.2591296,Spalding Georgia
423,-78.9425634,36.747244,Halifax Virginia
424,-101.8858689,36.2452294,Sherman Texas
425,-101.7119955,34.47235,Swisher Texas
426,-89.6175055,35.7579793,Lauderdale Tennessee
427,-78.314746,36.6798483,Mecklenburg Virginia
428,-77.1586002,36.6959378,Southampton Virginia
429,-83.2355879,31.7462726,Ben Hill Georgia
430,-93.5972459,33.1821484,Lafayette Arkansas
431,-104.4155765,34.2989792,De Baca New Mexico
432,-96.9766308,28.8026443,Victoria Texas
433,-92.6792848,32.598162,Lincoln Parish Louisiana
434,-80.4623642,26.1598074,Broward Florida
435,-103.4933903,33.972525,Roosevelt New Mexico
436,-119.0779359,34.4458248,Ventura California
437,-77.3465081,37.5131191,Henrico Virginia
438,-101.0452671,31.8151416,Sterling Texas
439,-88.0437509,30.6913462,Mobile Alabama
440,-83.9460576,30.8668623,Thomas Georgia
441,-82.6374871,32.6938608,Johnson Georgia
442,-80.8139485,35.2356385,Mecklenburg North Carolina
443,-84.5282597,32.3473263,Marion Georgia
444,-89.5278045,31.6143213,Covington Mississippi
445,-81.9759066,33.7635851,Edgefield South Carolina
446,-74.3963102,40.4279708,Middlesex New Jersey
447,-96.3102089,35.4655548,Okfuskee Oklahoma
448,-119.4904332,47.119015,Grant Washington
449,-98.3797949,35.131317,Caddo Oklahoma
450,-78.5547172,37.5558826,Buckingham Virginia
451,-77.2153144,37.1815024,Prince George Virginia
452,-79.7333261,35.0288383,Richmond North Carolina
453,-90.8992648,31.467398,Franklin Mississippi
454,-92.6171029,33.1637366,Union Arkansas
455,-84.8789094,30.951849,Seminole Georgia
456,-106.3832155,37.5668223,Rio Grande Colorado
457,-98.101923,28.2678746,Live Oak Texas
458,-104.609141,38.2544472,Pueblo Colorado
459,-101.4271085,32.3047833,Howard Texas
460,-86.1597137,33.3967079,Talladega Alabama
461,-81.8196804,27.4856349,Hardee Florida
462,-74.3045277,40.6652251,Union New Jersey
463,-83.5958387,30.8336559,Brooks Georgia
464,-96.0035095,28.8879823,Matagorda Texas
465,-103.7415268,37.8872079,Otero Colorado
466,-102.6220553,32.7044935,Gaines Texas
467,-103.3099435,34.5220133,Curry New Mexico
468,-98.1251465,29.1589961,Wilson Texas
469,-111.6948197,35.9363252,Coconino Arizona
470,-78.2469202,37.5004191,Cumberland Virginia
471,-117.8722311,33.750631,Orange California
472,-96.2291474,29.2454534,Wharton Texas
473,-106.8472167,35.5910806,Sandoval New Mexico
474,-89.9323619,31.8919593,Simpson Mississippi
475,-94.9651725,33.2040399,Titus Texas
476,-76.629641,36.0768949,Chowan North Carolina
477,-76.9166241,39.2305289,Howard Maryland
478,-122.3778662,39.5912766,Glenn California
479,-105.9059678,34.6356278,Torrance New Mexico
480,-83.631394,32.4659752,Houston Georgia
481,-78.4628573,37.2293293,Prince Edward Virginia
482,-88.7003965,32.0396256,Clarke Mississippi
483,-94.8069453,36.4118421,Delaware Oklahoma
484,-102.4130793,37.9455797,Prowers Colorado
485,-104.0591427,37.3096626,Las Animas Colorado
486,-79.3357315,36.4035101,Caswell North Carolina
487,-119.8345013,38.5893934,Alpine California
488,-83.1660939,33.5492988,Greene Georgia
489,-89.103199,32.7237573,Neshoba Mississippi
490,-87.1070947,31.1168422,Escambia Alabama
491,-95.2053495,36.7594037,Craig Oklahoma
492,-89.9110025,33.4230182,Carroll Mississippi
493,-94.7360577,35.5035863,Sequoyah Oklahoma
494,-115.17449463280128,36.1021436,New York New York
495,-82.291685,32.6080151,Emanuel Georgia
496,-78.0149444,35.3546293,Wayne North Carolina
497,-93.3055491,33.6413476,Nevada Arkansas
498,-89.3502834,37.1801529,Alexander Illinois
499,-98.5527241,28.3138785,McMullen Texas
500,-76.22857998050293,36.7503719,Chesapeake city Virginia
501,-101.7935648,37.5691072,Stanton Kansas
502,-100.4133839,31.3782559,Tom Green Texas
503,-114.1204325,47.7142864,Lake Montana
504,-121.9163555,38.2218938,Solano California
505,-90.1205396,31.5129753,Lawrence Mississippi
506,-78.2562001,36.9445279,Lunenburg Virginia
507,-91.7713274,33.9359663,Lincoln Arkansas
508,-77.6480714,37.0712818,Dinwiddie Virginia
509,-81.642794,34.6941696,Union South Carolina
510,-70.9788771,42.3544455,Suffolk Massachusetts
511,-101.8141159,38.0058948,Hamilton Kansas
512,-95.3927706,35.6630196,Muskogee Oklahoma
513,-103.4132264,36.3985203,Union New Mexico
514,-89.1183427,37.2314232,Pulaski Illinois
515,-82.5666186,32.396098,Treutlen Georgia
516,-77.4420197,38.7663953,Manassas city Virginia
517,-76.610759,39.2908816,Baltimore Maryland
518,-95.2482652,34.8759191,Latimer Oklahoma
519,-89.1317486,32.3882835,Newton Mississippi
520,-98.0393127,30.0447901,Hays Texas
521,-100.6536777,34.5036637,Hall Texas
522,-82.9763531,30.5232289,Hamilton Florida
523,-104.2701374,39.8714085,Adams Colorado
524,-87.5675258,33.2095614,Tuscaloosa Alabama
525,-91.7451362,29.9812242,Iberia Parish Louisiana
526,-84.2549068,30.4683062,Leon Florida
527,-95.2355722,36.3047676,Mayes Oklahoma
528,-83.1520134,32.1506514,Dodge Georgia
529,-93.7488946,32.0195388,De Soto Parish Louisiana
530,-81.6632109,30.3540073,Duval Florida
531,-81.3111658,28.495156,Orange Florida
532,-83.9326576,30.3949531,Jefferson Florida
533,-96.2944665,34.5661009,Coal Oklahoma
534,-93.6929825,33.6949319,Hempstead Arkansas
535,-80.1417843,34.6500578,Chesterfield South Carolina
536,-78.666593,34.2814497,Columbus North Carolina
537,-77.5536743,38.7389846,Prince William Virginia
538,-100.9052015,32.7225172,Scurry Texas
539,-82.4508165,33.7876673,Lincoln Georgia
540,-100.9213003,32.2898049,Mitchell Texas
541,-78.6593963,36.3210127,Granville North Carolina
542,-81.3921575,31.4979689,McIntosh Georgia
543,-91.5740887,30.6194283,Pointe Coupee Parish Louisiana
544,-83.4674404,32.2330518,Pulaski Georgia
545,-83.51792416411274,31.45874595,Tift Georgia
546,-89.9324347,38.4616972,St. Clair Illinois
547,-105.8063662,32.5059533,Otero New Mexico
548,-82.112882,34.1489805,Greenwood South Carolina
549,-101.3119354,37.1929045,Stevens Kansas
550,-94.767624,39.1090458,Wyandotte Kansas
551,-121.697088,38.9509675,Sutter California
552,-75.9265679,37.3688433,Northampton Virginia
553,-96.2749675,35.0458435,Hughes Oklahoma
554,-106.3563372,38.0945348,Saguache Colorado
555,-97.3887764,30.0541116,Bastrop Texas
556,-118.1325429,34.1453765,Lake Colorado
557,-95.9955885,29.9443902,Waller Texas
558,-111.6546163,32.1112624,Pima Arizona
559,-86.2327497,32.9181762,Coosa Alabama
560,-79.941149,37.2773592,Roanoke city Virginia
561,-88.4747009,33.8884929,Monroe Mississippi
562,-95.52055,34.0246234,Choctaw Oklahoma
563,-110.2107103,48.6655784,Hill Montana
564,-88.6913264,34.265749,Lee Mississippi
565,-89.9335244,34.6391136,Tate Mississippi
566,-75.1623239,39.3183341,Cumberland New Jersey
567,-89.9778704,34.8702932,DeSoto Mississippi
568,-121.9059001,38.7184542,Yolo California
569,-77.2075612,39.1406267,Montgomery Maryland
570,-96.5677015,42.4049316,Dakota Nebraska
