origin,population
Aboriginal from Central/South America (except Arawak and Maya),0.0
Afghanistan,15.0
Akan,0.0
Albania,145.0
Algeria,0.0
Angola,0.0
Antigua and Barbuda,10.0
"Arab, n.o.c",0.0
Arawak,40.0
Argentina,50.0
Armenia,110.0
Ashanti,0.0
Assyrian,25.0
Australia,0.0
Austria,10.0
Azerbaijan,0.0
Bangladesh,0.0
"Bantu, n.o.c",0.0
Barbados,0.0
Belarus,30.0
Belgium,10.0
Belize,0.0
Benin,0.0
Berber,0.0
Bermuda,0.0
Bhutan,10.0
"Black, n.o.c.",0.0
Bolivia,0.0
Bosnia,1925.0
Brazil,0.0
"British Isles origins, n.o.c",17890.0
Bulgaria,825.0
Burkina Faso,0.0
Burundi,0.0
Cambodia,455.0
Cameroon,0.0
Canada,95705.0
Caribbean,0.0
"Caribbean origins, n.o.c",15.0
"Central and South American origins, n.o.c",0.0
"Central and West African origins, n.o.c",25.0
Chad,0.0
Chile,25.0
China,100.0
Colombia,0.0
Coptic,0.0
Costa Rica,0.0
Croatia,0.0
Cuba,55.0
Cyprus,0.0
Czech Republic,55.0
"Czechoslovakian, n.o.c",50.0
DR Congo,35.0
Denmark,370.0
Dinka,0.0
Djibouti,0.0
Dominican Republic,0.0
"East and Southeast Asian origins, n.o.c",35.0
"Eastern European origins, n.o.c",0.0
Ecuador,10.0
Egypt,0.0
El Salvador,0.0
Eritrea,0.0
Estonia,2740.0
Ethiopia,10.0
Fiji,0.0
Finland,11620.0
France,4465.0
Gabon,0.0
Georgia,0.0
Germany,13890.0
Ghana,0.0
Greece,0.0
Grenada,0.0
Guadeloupe,0.0
Guatemala,200.0
Guinea,0.0
Guyana,10.0
Haiti,0.0
Harari,0.0
Hazara,0.0
Hispanic,0.0
Hmong,10.0
Honduras,30.0
Hungary,490.0
Iceland,60.0
India,2365.0
Indonesia,0.0
Iran,0.0
Iraq,0.0
Ireland,7190.0
Israel,0.0
Italy,585.0
Ivory Coast,0.0
Jamaica,0.0
Japan,10.0
Jordan,50.0
Karen,10.0
Kazakhstan,30.0
Kenya,0.0
Kosovo,50.0
Kurdistan,0.0
Kuwait,0.0
Kyrgyzstan,20.0
Laos,50.0
Latvia,2755.0
Lebanon,0.0
Liberia,10.0
Libya,0.0
Lithuania,150.0
Luxembourg,2785.0
Madagascar,0.0
Malaysia,0.0
Mali,0.0
Malinké,0.0
Malta,35.0
Martinique,0.0
Mauritania,90.0
Mauritius,75.0
Maya,0.0
Mexico,25.0
Moldova,5835.0
Mongolia,155.0
Montenegro,365.0
Montserrat,10.0
Morocco,0.0
Myanmar (Burma),20.0
Nepal,0.0
Netherlands,1040.0
New Zealand,10.0
Nicaragua,10.0
Nigeria,15.0
"North African origins, n.o.c",0.0
North Macedonia,0.0
"Northern European origins, n.o.c ",45.0
Norway,370.0
Oromo,0.0
"Other African origins, n.o.c",20.0
"Other Asian origins, n.o.c",15.0
"Other European origins, n.o.c",0.0
"Other North American origins, n.o.c",0.0
"Pacific Islands origins, n.o.c",0.0
Pakistan,0.0
Palestine,0.0
Panama,0.0
Paraguay,20.0
Pashtun,35.0
Peru,330.0
Peulh,0.0
Philippines,125.0
Poland,30.0
"Polynesian, n.o.c",0.0
Portugal,90.0
Puerto Rico,0.0
Roma,0.0
Romania,2970.0
Russia,20.0
Rwanda,0.0
Saint Kitts and Nevis,10.0
Saint Lucia,460.0
Saint Vincent and the Grenadines,15.0
Samoa,0.0
Saudi Arabia,0.0
Senegal,15.0
Serbia,10.0
Seychelles,0.0
Sierra Leone,30.0
Singapore,0.0
"Slavic, n.o.c",0.0
Slovakia,0.0
Slovenia,125.0
Somalia,0.0
South Africa,10.0
"South Asian origins, n.o.c",0.0
South Korea,15.0
"Southern European origins, n.o.c",245.0
"Southern and East African origins, n.o.c",15.0
Spain,125.0
Sri Lanka,585.0
Sudan,0.0
Sweden,165.0
Switzerland,1870.0
Syria,0.0
Taiwan,0.0
Tajikistan,0.0
Tanzania,0.0
Tatar,0.0
Thailand,440.0
The Bahamas,10.0
The Gambia,0.0
Tigria,0.0
Togo,0.0
Trinidad and Tobago,0.0
Tunisia,0.0
Turkey,10.0
Turkmenistan,880.0
Uganda,145.0
Ukraine,175.0
United Kingdom,24670.0
United States,0.0
Uruguay,0.0
Uzbekistan,0.0
Venezuela,0.0
Vietnam,70.0
"West Central Asian and Middle Eastern origins, n.o.c",0.0
"West India, n.o.c",10.0
Wolof,0.0
Yemen,700.0
"Yugoslavian, n.o.c",10.0
Zambia,80.0
Zimbabwe,2965.0
Zulu,0.0
origin,1305.0
