Name,Alias,Title
The Back Room,the-back-room-surrey,Bars
Momo n Wings,momo-n-wings-surrey,Sports Bars
Tasty Indian Bistro,tasty-indian-bistro-delta-2,Indian
The Wooden Spoon,the-wooden-spoon-white-rock,Breakfast & Brunch
Vault Restaurant,vault-restaurant-surrey,Steakhouses
Tokyo Mithaiwala,tokyo-mithaiwala-surrey,Bakeries
Chuihong,chuihong-surrey,Korean
Banana Leaf,banana-leaf-surrey,Malaysian
Yory Korean Cuisine,yory-korean-cuisine-surrey,Korean
Clove,clove-surrey,Indian
Liberty Kitchen,liberty-kitchen-surrey,Comfort Food
Yugafu Japanese Bistro,yugafu-japanese-bistro-surrey,Japanese
Jerusalem Grill & Shawarma,jerusalem-grill-and-shawarma-surrey-3,Mediterranean
Old Surrey Restaurant,old-surrey-restaurant-surrey,French
The Social Tavern,the-social-tavern-surrey,Sports Bars
Showshaa - The Modern Taproom,showshaa-the-modern-taproom-surrey,Tapas Bars
The Carvery Sandwich Shop,the-carvery-sandwich-shop-surrey,Delicatessen
Zapoteca,zapoteca-white-rock,Mexican
Cactus Club Cafe,cactus-club-cafe-surrey,Canadian (New)
Chacha's Tandoor & Grill,chachas-tandoor-and-grill-surrey,Indian
Haven Kitchen + Bar,haven-kitchen-bar-langley-city,Cocktail Bars
Boom Beer,boom-beer-surrey,Korean
Tacoholic,tacoholic-langley-3,Mexican
Baik Mi Korean Restaurant,baik-mi-korean-restaurant-surrey,Korean
Five,five-white-rock-2,Seafood
Maruhachi Ra-men,maruhachi-ra-men-surrey,Ramen
Ambar Surrey  Dhaba,ambar-surrey-dhaba-surrey,Indian
Bacayon's Chibugan,bacayons-chibugan-surrey-3,Filipino
Ustaad G,ustaad-g-surrey,Indian
Spice of Nepal,spice-of-nepal-surrey-2,Himalayan/Nepalese
Woorinara Korean Restaurant,woorinara-korean-restaurant-langley-city,Korean
Rib & Chicken,rib-and-chicken-langley,Korean
bb.q Chicken & Pub,bb-q-chicken-and-pub-surrey,Korean
Waffle House Diner,waffle-house-diner-surrey,Diners
Ruex Cafe & Bar,ruex-cafe-and-bar-surrey,Breakfast & Brunch
Meltwich Food Co,meltwich-food-co-surrey,Burgers
Mr Tonkatsu,mr-tonkatsu-surrey-3,Japanese
Afghan Kitchen South Surrey,afghan-kitchen-south-surrey-surrey,Afghan
Tap Restaurant,tap-restaurant-surrey-2,Tapas/Small Plates
The Tannenbaum Restaurant,the-tannenbaum-restaurant-new-westminster,German
Delphi Brunch Cafe,delphi-brunch-cafe-langley,Breakfast & Brunch
La Baia Italian Restaurant,la-baia-italian-restaurant-white-rock,Italian
German Doner Kebab,german-doner-kebab-surrey,Donairs
Pasta Timo,pasta-timo-surrey,Italian
Naka Bistro Lao & Thai Cuisine,naka-bistro-lao-and-thai-cuisine-langley-2,Laotian
Dragon Village Restaurant,dragon-village-restaurant-surrey,Chinese
