"Special Interest Profile, 2021 Census of Population"
"Geography: Vancouver (City), British Columbia [Census subdivision]"
"Ethnic or cultural origin (101): Total - Ethnic or cultural origin"
"Age (8): Total - Age"

"Topic","Characteristic","Note","Total - Gender (1)","Total - Gender_Symb","Men+ (2)","Men+_Symb","Women+ (3)","Women+_Symb",
"Visible minority","Total - Visible minority for the population in private households - 25% sample data",102,650380,"",317885,"",332495,"",
"Visible minority","  Total visible minority population",103,354615,"",166310,"",188300,"",
"Visible minority","    South Asian",, 44850,"", 23295,"", 21555,"",
"Visible minority","    Chinese",,168380,"", 77690,"", 90690,"",
"Visible minority","    Black",,  8515,"",  4625,"",  3895,"",
"Visible minority","    Filipino",, 38605,"", 16560,"", 22045,"",
"Visible minority","    Arab",,  3785,"",  2220,"",  1570,"",
"Visible minority","    Latin American",, 18080,"",  9150,"",  8925,"",
"Visible minority","    Southeast Asian",, 20590,"",  9475,"", 11110,"",
"Visible minority","    West Asian",, 12105,"",  6075,"",  6025,"",
"Visible minority","    Korean",, 10890,"",  4595,"",  6290,"",
"Visible minority","    Japanese",, 10990,"",  4280,"",  6705,"",
"Visible minority","    Visible minority, n.i.e.",104,  3235,"",  1510,"",  1725,"",
"Visible minority","    Multiple visible minorities",, 14585,"",  6830,"",  7750,"",
"Visible minority","  Not a visible minority",105,295765,"",151570,"",144195,"",
"Ethnic or cultural origin","Total - Ethnic or cultural origin for the population in private households - 25% sample data",106,650380,"",317885,"",332495,"",
"Ethnic or cultural origin","  Canadian",, 33690,"", 17880,"", 15810,"",
"Ethnic or cultural origin","  English",, 84370,"", 42975,"", 41400,"",
"Ethnic or cultural origin","  Irish",, 65695,"", 32670,"", 33025,"",
"Ethnic or cultural origin","  Scottish",, 69200,"", 34335,"", 34865,"",
"Ethnic or cultural origin","  French, n.o.s.",107, 30625,"", 15415,"", 15210,"",
"Ethnic or cultural origin","  German",, 45215,"", 22315,"", 22900,"",
"Ethnic or cultural origin","  Chinese",,159085,"", 73335,"", 85745,"",
"Ethnic or cultural origin","  Italian",, 21155,"", 10465,"", 10690,"",
"Ethnic or cultural origin","  Indian (India)",, 27765,"", 14440,"", 13330,"",
"Ethnic or cultural origin","  Ukrainian",, 19995,"",  9730,"", 10270,"",
"Ethnic or cultural origin","  Dutch",, 13325,"",  6955,"",  6375,"",
"Ethnic or cultural origin","  Polish",, 15900,"",  7530,"",  8370,"",
"Ethnic or cultural origin","  Québécois",,   930,"",   470,"",   460,"",
"Ethnic or cultural origin","  British Isles, n.o.s.",108, 21545,"", 11120,"", 10425,"",
"Ethnic or cultural origin","  Filipino",, 38885,"", 16625,"", 22255,"",
"Ethnic or cultural origin","  French Canadian",,  4070,"",  2020,"",  2055,"",
"Ethnic or cultural origin","  Caucasian (White), n.o.s.",109, 11100,"",  5870,"",  5235,"",
"Ethnic or cultural origin","  First Nations (North American Indian), n.o.s.",110,  5670,"",  2840,"",  2835,"",
"Ethnic or cultural origin","  Métis",,  3945,"",  1875,"",  2065,"",
"Ethnic or cultural origin","  European, n.o.s.",111, 11990,"",  6180,"",  5815,"",
"Ethnic or cultural origin","  Russian",, 14135,"",  6570,"",  7565,"",
"Ethnic or cultural origin","  Norwegian",, 10120,"",  4995,"",  5125,"",
"Ethnic or cultural origin","  Welsh",,  9260,"",  4285,"",  4970,"",
"Ethnic or cultural origin","  Portuguese",,  6535,"",  3185,"",  3350,"",
"Ethnic or cultural origin","  American",,  7565,"",  3805,"",  3765,"",
"Ethnic or cultural origin","  Spanish",, 11605,"",  5515,"",  6090,"",
"Ethnic or cultural origin","  Swedish",,  8270,"",  3940,"",  4335,"",
"Ethnic or cultural origin","  Hungarian",,  5615,"",  2760,"",  2855,"",
"Ethnic or cultural origin","  Acadian",,   830,"",   420,"",   415,"",
"Ethnic or cultural origin","  Pakistani",,  1820,"",  1050,"",   765,"",
"Ethnic or cultural origin","  African, n.o.s.",112,  2655,"",  1375,"",  1285,"",
"Ethnic or cultural origin","  Jewish",, 11550,"",  5890,"",  5660,"",
"Ethnic or cultural origin","  Punjabi",,  6100,"",  3220,"",  2880,"",
"Ethnic or cultural origin","  Vietnamese",, 17450,"",  8085,"",  9370,"",
"Ethnic or cultural origin","  Arab, n.o.s.",113,  1800,"",  1070,"",   735,"",
"Ethnic or cultural origin","  Greek",,  5480,"",  2885,"",  2595,"",
"Ethnic or cultural origin","  Jamaican",,  1375,"",   710,"",   665,"",
"Ethnic or cultural origin","  Asian, n.o.s.",114, 11330,"",  5315,"",  6010,"",
"Ethnic or cultural origin","  Cree, n.o.s.",115,  1705,"",   840,"",   870,"",
"Ethnic or cultural origin","  Korean",, 11470,"",  4900,"",  6570,"",
"Ethnic or cultural origin","  Romanian",,  3375,"",  1660,"",  1715,"",
