"Special Interest Profile, 2021 Census of Population"
"Geography: Burnaby (City), British Columbia [Census subdivision]"
"Ethnic or cultural origin (101): Total - Ethnic or cultural origin"
"Age (8): Total - Age"

"Topic","Characteristic","Note","Total - Gender (1)","Total - Gender_Symb","Men+ (2)","Men+_Symb","Women+ (3)","Women+_Symb",
"Visible minority","Total - Visible minority for the population in private households - 25% sample data",102,245725,"",121045,"",124680,"",
"Visible minority","  Total visible minority population",103,166685,"", 79680,"", 87005,"",
"Visible minority","    South Asian",, 23160,"", 11800,"", 11355,"",
"Visible minority","    Chinese",, 81795,"", 38605,"", 43190,"",
"Visible minority","    Black",,  4985,"",  2745,"",  2240,"",
"Visible minority","    Filipino",, 14290,"",  6085,"",  8210,"",
"Visible minority","    Arab",,  2535,"",  1335,"",  1200,"",
"Visible minority","    Latin American",,  6155,"",  3050,"",  3105,"",
"Visible minority","    Southeast Asian",,  6270,"",  2900,"",  3375,"",
"Visible minority","    West Asian",,  6440,"",  3400,"",  3035,"",
"Visible minority","    Korean",,  9335,"",  4235,"",  5100,"",
"Visible minority","    Japanese",,  3765,"",  1550,"",  2210,"",
"Visible minority","    Visible minority, n.i.e.",104,  1565,"",   795,"",   770,"",
"Visible minority","    Multiple visible minorities",,  6395,"",  3185,"",  3215,"",
"Visible minority","  Not a visible minority",105, 79035,"", 41365,"", 37675,"",
"Ethnic or cultural origin","Total - Ethnic or cultural origin for the population in private households - 25% sample data",106,245725,"",121045,"",124680,"",
"Ethnic or cultural origin","  Canadian",, 11285,"",  6020,"",  5265,"",
"Ethnic or cultural origin","  English",, 18660,"",  9955,"",  8705,"",
"Ethnic or cultural origin","  Irish",, 12470,"",  6430,"",  6040,"",
"Ethnic or cultural origin","  Scottish",, 14610,"",  7435,"",  7170,"",
"Ethnic or cultural origin","  French, n.o.s.",107,  6405,"",  3365,"",  3045,"",
"Ethnic or cultural origin","  German",, 10450,"",  5310,"",  5140,"",
"Ethnic or cultural origin","  Chinese",, 73760,"", 35005,"", 38760,"",
"Ethnic or cultural origin","  Italian",, 11680,"",  5965,"",  5710,"",
"Ethnic or cultural origin","  Indian (India)",, 15000,"",  7470,"",  7535,"",
"Ethnic or cultural origin","  Ukrainian",,  5495,"",  2805,"",  2690,"",
"Ethnic or cultural origin","  Dutch",,  2990,"",  1580,"",  1405,"",
"Ethnic or cultural origin","  Polish",,  3910,"",  1900,"",  2010,"",
"Ethnic or cultural origin","  Québécois",,   215,"",   125,"",    85,"",
"Ethnic or cultural origin","  British Isles, n.o.s.",108,  4590,"",  2445,"",  2145,"",
"Ethnic or cultural origin","  Filipino",, 14055,"",  6105,"",  7950,"",
"Ethnic or cultural origin","  French Canadian",,   990,"",   525,"",   465,"",
"Ethnic or cultural origin","  Caucasian (White), n.o.s.",109,  2300,"",  1210,"",  1095,"",
"Ethnic or cultural origin","  First Nations (North American Indian), n.o.s.",110,  1610,"",   800,"",   810,"",
"Ethnic or cultural origin","  Métis",,  1210,"",   585,"",   620,"",
"Ethnic or cultural origin","  European, n.o.s.",111,  2775,"",  1445,"",  1330,"",
"Ethnic or cultural origin","  Russian",,  3870,"",  1910,"",  1955,"",
"Ethnic or cultural origin","  Norwegian",,  2370,"",  1235,"",  1140,"",
"Ethnic or cultural origin","  Welsh",,  1860,"",   935,"",   925,"",
"Ethnic or cultural origin","  Portuguese",,  2805,"",  1440,"",  1365,"",
"Ethnic or cultural origin","  American",,  1510,"",   860,"",   650,"",
"Ethnic or cultural origin","  Spanish",,  3445,"",  1710,"",  1735,"",
"Ethnic or cultural origin","  Swedish",,  1880,"",   945,"",   935,"",
"Ethnic or cultural origin","  Hungarian",,  1555,"",   720,"",   835,"",
"Ethnic or cultural origin","  Acadian",,   165,"",   105,"",    65,"",
"Ethnic or cultural origin","  Pakistani",,  1115,"",   620,"",   495,"",
"Ethnic or cultural origin","  African, n.o.s.",112,  1425,"",   805,"",   625,"",
"Ethnic or cultural origin","  Jewish",,  1030,"",   495,"",   535,"",
"Ethnic or cultural origin","  Punjabi",,  2205,"",  1120,"",  1085,"",
"Ethnic or cultural origin","  Vietnamese",,  5440,"",  2590,"",  2850,"",
"Ethnic or cultural origin","  Arab, n.o.s.",113,  1170,"",   620,"",   545,"",
"Ethnic or cultural origin","  Greek",,  1220,"",   640,"",   575,"",
"Ethnic or cultural origin","  Jamaican",,   550,"",   330,"",   225,"",
"Ethnic or cultural origin","  Asian, n.o.s.",114,  5765,"",  2710,"",  3055,"",
"Ethnic or cultural origin","  Cree, n.o.s.",115,   440,"",   220,"",   215,"",
"Ethnic or cultural origin","  Korean",,  9325,"",  4220,"",  5100,"",
"Ethnic or cultural origin","  Romanian",,  1445,"",   800,"",   650,"",
"Ethnic or cultural origin","  Lebanese",,   405,"",   205,"",   200,"",
"Ethnic or cultural origin","  Iranian",,  3805,"",  1980,"",  1825,"",
"Ethnic or cultural origin","  Christian, n.i.e.",116,  1015,"",   525,"",   495,"",
"Ethnic or cultural origin","  Danish",,   985,"",   510,"",   480,"",
"Ethnic or cultural origin","  North American Indigenous, n.o.s.",117,   500,"",   280,"",   225,"",
"Ethnic or cultural origin","  Sikh",,  1555,"",   815,"",   740,"",
