"Topic","Characteristic","Note","Total - Gender (1)","Total - Gender_Symb","Men+ (2)","Men+_Symb","Women+ (3)","Women+_Symb",
"Visible minority","Total - Visible minority for the population in private households - 25% sample data",102, 87890,"", 41810,"", 46080,"",
"Visible minority","  Total visible minority population",103, 14855,"",  6980,"",  7880,"",
"Visible minority","    South Asian",,  2540,"",  1290,"",  1245,"",
"Visible minority","    Chinese",,  3075,"",  1455,"",  1620,"",
"Visible minority","    Black",,  1510,"",   760,"",   755,"",
"Visible minority","    Filipino",,  2335,"",   920,"",  1410,"",
"Visible minority","    Arab",,   680,"",   390,"",   290,"",
"Visible minority","    Latin American",,  1120,"",   520,"",   600,"",
"Visible minority","    Southeast Asian",,   780,"",   290,"",   485,"",
"Visible minority","    West Asian",,   445,"",   215,"",   230,"",
"Visible minority","    Korean",,   675,"",   320,"",   350,"",
"Visible minority","    Japanese",,   895,"",   355,"",   545,"",
"Visible minority","    Visible minority, n.i.e.",104,   210,"",   120,"",    90,"",
"Visible minority","    Multiple visible minorities",,   590,"",   335,"",   250,"",
"Visible minority","  Not a visible minority",105, 73035,"", 34830,"", 38200,"",
"Ethnic or cultural origin","Total - Ethnic or cultural origin for the population in private households - 25% sample data",106, 87890,"", 41810,"", 46080,"",
"Ethnic or cultural origin","  Canadian",,  7335,"",  3745,"",  3590,"",
"Ethnic or cultural origin","  English",, 26795,"", 12645,"", 14150,"",
"Ethnic or cultural origin","  Irish",, 18205,"",  8225,"",  9980,"",
"Ethnic or cultural origin","  Scottish",, 21660,"",  9875,"", 11780,"",
"Ethnic or cultural origin","  French, n.o.s.",107,  8300,"",  3775,"",  4525,"",
"Ethnic or cultural origin","  German",, 11545,"",  5415,"",  6130,"",
"Ethnic or cultural origin","  Chinese",,  3280,"",  1550,"",  1735,"",
"Ethnic or cultural origin","  Italian",,  3205,"",  1435,"",  1770,"",
"Ethnic or cultural origin","  Indian (India)",,  1795,"",   930,"",   865,"",
"Ethnic or cultural origin","  Ukrainian",,  4455,"",  2015,"",  2435,"",
"Ethnic or cultural origin","  Dutch",,  4030,"",  1815,"",  2215,"",
"Ethnic or cultural origin","  Polish",,  3240,"",  1525,"",  1715,"",
"Ethnic or cultural origin","  Québécois",,   260,"",   125,"",   135,"",
"Ethnic or cultural origin","  British Isles, n.o.s.",108,  5785,"",  2730,"",  3055,"",
"Ethnic or cultural origin","  Filipino",,  2255,"",   890,"",  1370,"",
"Ethnic or cultural origin","  French Canadian",,  1090,"",   490,"",   595,"",
"Ethnic or cultural origin","  Caucasian (White), n.o.s.",109,  1940,"",   980,"",   960,"",
"Ethnic or cultural origin","  First Nations (North American Indian), n.o.s.",110,  1460,"",   710,"",   750,"",
"Ethnic or cultural origin","  Métis",,  1530,"",   600,"",   925,"",
"Ethnic or cultural origin","  European, n.o.s.",111,  2410,"",  1160,"",  1250,"",
"Ethnic or cultural origin","  Russian",,  2195,"",   995,"",  1200,"",
"Ethnic or cultural origin","  Norwegian",,  3030,"",  1340,"",  1690,"",
"Ethnic or cultural origin","  Welsh",,  3205,"",  1435,"",  1780,"",
"Ethnic or cultural origin","  Portuguese",,   695,"",   325,"",   370,"",
"Ethnic or cultural origin","  American",,  2025,"",   945,"",  1080,"",
"Ethnic or cultural origin","  Spanish",,  1015,"",   435,"",   575,"",
"Ethnic or cultural origin","  Swedish",,  2075,"",   920,"",  1150,"",
"Ethnic or cultural origin","  Hungarian",,  1255,"",   580,"",   670,"",
"Ethnic or cultural origin","  Acadian",,   340,"",   165,"",   170,"",
"Ethnic or cultural origin","  Pakistani",,   190,"",    80,"",   105,"",
"Ethnic or cultural origin","  African, n.o.s.",112,   450,"",   245,"",   210,"",
"Ethnic or cultural origin","  Jewish",,  1410,"",   715,"",   690,"",
"Ethnic or cultural origin","  Punjabi",,   235,"",   120,"",   120,"",
"Ethnic or cultural origin","  Vietnamese",,   410,"",   170,"",   245,"",
"Ethnic or cultural origin","  Arab, n.o.s.",113,   280,"",   175,"",   110,"",
"Ethnic or cultural origin","  Greek",,   435,"",   185,"",   250,"",
"Ethnic or cultural origin","  Jamaican",,   275,"",   135,"",   135,"",
"Ethnic or cultural origin","  Asian, n.o.s.",114,   365,"",   135,"",   230,"",
"Ethnic or cultural origin","  Cree, n.o.s.",115,   550,"",   230,"",   315,"",
"Ethnic or cultural origin","  Korean",,   675,"",   340,"",   340,"",
"Ethnic or cultural origin","  Romanian",,   620,"",   295,"",   330,"",
"Ethnic or cultural origin","  Lebanese",,   290,"",   150,"",   140,"",
"Ethnic or cultural origin","  Iranian",,   395,"",   185,"",   210,"",
"Ethnic or cultural origin","  Christian, n.i.e.",116,   215,"",   130,"",    90,"",
"Ethnic or cultural origin","  Danish",,  1385,"",   610,"",   770,"",
"Ethnic or cultural origin","  North American Indigenous, n.o.s.",117,   495,"",   285,"",   215,"",
"Ethnic or cultural origin","  Sikh",,    95,"",    45,"",    50,"",
"Ethnic or cultural origin","  Austrian",,  1090,"",   515,"",   575,"",
"Ethnic or cultural origin","  Belgian",,   555,"",   285,"",   270,"",
"Ethnic or cultural origin","  Haitian",,    30,"",    20,"",    10,"",
"Ethnic or cultural origin","  Hindu",,   135,"",    85,"",    50,"",
"Ethnic or cultural origin","  Mexican",,   440,"",   230,"",   210,"",
"Ethnic or cultural origin","  Mennonite",,   325,"",   160,"",   160,"",
"Ethnic or cultural origin","  Swiss",,   680,"",   310,"",   365,"",
"Ethnic or cultural origin","  Finnish",,   805,"",   390,"",   410,"",
"Ethnic or cultural origin","  Sri Lankan",,    40,"",    20,"",    20,"",
"Ethnic or cultural origin","  Croatian",,   335,"",   170,"",   160,"",
"Ethnic or cultural origin","  Japanese",,  1020,"",   410,"",   610,"",
"Ethnic or cultural origin","  South Asian, n.o.s.",118,    80,"",    40,"",    35,"",
"Ethnic or cultural origin","  Mi'kmaq, n.o.s.",119,   210,"",   100,"",   105,"",
"Ethnic or cultural origin","  Northern European, n.o.s.",120,   780,"",   375,"",   410,"",
"Ethnic or cultural origin","  Muslim",,    40,"",    20,"",    25,"",
"Ethnic or cultural origin","  Egyptian",,   140,"",    80,"",    55,"",
"Ethnic or cultural origin","  Latin, Central or South American, n.o.s.",121,   195,"",    90,"",   105,"",
"Ethnic or cultural origin","  Tamil",,     0,"",     0,"",     0,"",
"Ethnic or cultural origin","  Icelandic",,   545,"",   270,"",   270,"",
"Ethnic or cultural origin","  Colombian",,   190,"",    80,"",   105,"",
"Ethnic or cultural origin","  Moroccan",,   125,"",    50,"",    70,"",
"Ethnic or cultural origin","  Czech",,   515,"",   250,"",   265,"",
"Ethnic or cultural origin","  Syrian",,   150,"",    85,"",    65,"",
"Ethnic or cultural origin","  Guyanese",,    85,"",    45,"",    35,"",
"Ethnic or cultural origin","  Afghan",,    25,"",    20,"",    10,"",
"Ethnic or cultural origin","  Black, n.o.s.",122,    95,"",    50,"",    40,"",
"Ethnic or cultural origin","  Serbian",,   295,"",   150,"",   145,"",
"Ethnic or cultural origin","  Ojibway",,   215,"",    95,"",   120,"",
"Ethnic or cultural origin","  Newfoundlander",,   140,"",    85,"",    50,"",
"Ethnic or cultural origin","  Hong Konger",,   145,"",    55,"",    90,"",
"Ethnic or cultural origin","  Ontarian",,    80,"",    20,"",    65,"",
"Ethnic or cultural origin","  Persian",,   145,"",    65,"",    80,"",
"Ethnic or cultural origin","  Trinidadian/Tobagonian",,   160,"",    75,"",    90,"",
"Ethnic or cultural origin","  Turkish",,   220,"",   105,"",   120,"",
"Ethnic or cultural origin","  Inuit, n.o.s.",123,    40,"",    15,"",    25,"",
"Ethnic or cultural origin","  Bangladeshi",,    55,"",    35,"",    15,"",
"Ethnic or cultural origin","  Algerian",,    10,"",     0,"",     0,"",
"Ethnic or cultural origin","  Brazilian",,   225,"",   115,"",   110,"",
"Ethnic or cultural origin","  Nigerian",,   120,"",    50,"",    75,"",
"Ethnic or cultural origin","  Armenian",,    80,"",    45,"",    30,"",
"Ethnic or cultural origin","  Slovak",,   230,"",   105,"",   125,"",
"Ethnic or cultural origin","  Eastern European, n.o.s.",124,   345,"",   130,"",   215,"",
"Ethnic or cultural origin","  Somali",,    50,"",    25,"",    25,"",
"Ethnic or cultural origin","  Taiwanese",,   140,"",    60,"",    75,"",
"Ethnic or cultural origin","  Iraqi",,    60,"",    20,"",    45,"",
"Ethnic or cultural origin","  Salvadorean",,    50,"",    10,"",    40,"",
"Ethnic or cultural origin","  African Caribbean",,    55,"",    25,"",    30,"",
"Ethnic or cultural origin","  East or Southeast Asian, n.o.s.",125,   135,"",    70,"",    60,"",
"Ethnic or cultural origin","  West or Central Asian or Middle Eastern, n.o.s.",126,    70,"",    40,"",    30,"",
"Ethnic or cultural origin","  Caribbean, n.o.s.",127,    90,"",    40,"",    55,"",
"Ethnic or cultural origin","  Algonquin",,    20,"",    10,"",    15,"",
"Ethnic or cultural origin","  West Indian, n.o.s.",128,    30,"",     0,"",    25,"",
"Ethnic or cultural origin","  Lithuanian",,   340,"",   195,"",   145,"",
"Religion","Total - Religion for the population in private households - 25% sample data",129, 87890,"", 41810,"", 46080,"",
"Religion","  Buddhist",,  1220,"",   510,"",   710,"",
"Religion","  Christian",, 24935,"", 10775,"", 14160,"",
"Religion","    Christian, n.o.s.",130,  4415,"",  1975,"",  2440,"",
"Religion","    Anabaptist",,    75,"",    30,"",    50,"",
"Religion","    Anglican",,  4010,"",  1685,"",  2325,"",
"Religion","    Baptist",,   730,"",   360,"",   365,"",
"Religion","    Catholic",,  8950,"",  3985,"",  4965,"",
"Religion","    Christian Orthodox",,   435,"",   185,"",   250,"",
"Religion","    Jehovah's Witness",,   315,"",   125,"",   190,"",
"Religion","    Latter Day Saints",,   120,"",    35,"",    85,"",
"Religion","    Lutheran",,   580,"",   275,"",   300,"",
"Religion","    Methodist and Wesleyan (Holiness)",,   110,"",    50,"",    60,"",
"Religion","    Pentecostal and other Charismatic",,   515,"",   200,"",   315,"",
"Religion","    Presbyterian",,   625,"",   260,"",   365,"",
"Religion","    Reformed",,    50,"",    15,"",    30,"",
"Religion","    United Church",,  2480,"",   910,"",  1570,"",
"Religion","    Other Christian and Christian-related traditions",,  1530,"",   685,"",   845,"",
"Religion","  Hindu",,   670,"",   375,"",   295,"",
"Religion","  Jewish",,   965,"",   445,"",   520,"",
"Religion","  Muslim",,  1690,"",   920,"",   775,"",
"Religion","  Sikh",,   420,"",   200,"",   220,"",
"Religion","  Traditional (North American Indigenous) spirituality",,   255,"",    85,"",   165,"",
"Religion","  Other religions and spiritual traditions",,  1990,"",   835,"",  1155,"",
"Religion","  No religion and secular perspectives",, 55750,"", 27660,"", 28090,"",
