"Topic","Characteristic","Note","Total - Gender (1)","Total - Gender_Symb","Men+ (2)","Men+_Symb","Women+ (3)","Women+_Symb",
"Visible minority","Total - Visible minority for the population in private households - 25% sample data",102,218525,"",106880,"",111650,"",
"Visible minority","  Total visible minority population",103, 24430,"", 11600,"", 12830,"",
"Visible minority","    South Asian",,  7420,"",  3725,"",  3700,"",
"Visible minority","    Chinese",,  3345,"",  1545,"",  1795,"",
"Visible minority","    Black",,  2395,"",  1240,"",  1155,"",
"Visible minority","    Filipino",,  2980,"",  1220,"",  1765,"",
"Visible minority","    Arab",,   675,"",   375,"",   300,"",
"Visible minority","    Latin American",,  1795,"",   805,"",   985,"",
"Visible minority","    Southeast Asian",,  1220,"",   515,"",   705,"",
"Visible minority","    West Asian",,   825,"",   435,"",   390,"",
"Visible minority","    Korean",,   890,"",   435,"",   450,"",
"Visible minority","    Japanese",,  1645,"",   685,"",   960,"",
"Visible minority","    Visible minority, n.i.e.",104,   455,"",   250,"",   205,"",
"Visible minority","    Multiple visible minorities",,   790,"",   370,"",   420,"",
"Visible minority","  Not a visible minority",105,194095,"", 95280,"", 98815,"",
"Ethnic or cultural origin","Total - Ethnic or cultural origin for the population in private households - 25% sample data",106,218525,"",106880,"",111650,"",
"Ethnic or cultural origin","  Canadian",, 27705,"", 13990,"", 13720,"",
"Ethnic or cultural origin","  English",, 58600,"", 28270,"", 30325,"",
"Ethnic or cultural origin","  Irish",, 35925,"", 16680,"", 19245,"",
"Ethnic or cultural origin","  Scottish",, 43410,"", 20965,"", 22445,"",
"Ethnic or cultural origin","  French, n.o.s.",107, 20035,"",  9645,"", 10385,"",
"Ethnic or cultural origin","  German",, 42245,"", 20805,"", 21440,"",
"Ethnic or cultural origin","  Chinese",,  3650,"",  1655,"",  1995,"",
"Ethnic or cultural origin","  Italian",,  8960,"",  4320,"",  4645,"",
"Ethnic or cultural origin","  Indian (India)",,  4665,"",  2360,"",  2305,"",
"Ethnic or cultural origin","  Ukrainian",, 17070,"",  8335,"",  8730,"",
"Ethnic or cultural origin","  Dutch",, 10560,"",  5300,"",  5265,"",
"Ethnic or cultural origin","  Polish",,  9575,"",  4530,"",  5040,"",
"Ethnic or cultural origin","  Québécois",,   315,"",   160,"",   160,"",
"Ethnic or cultural origin","  British Isles, n.o.s.",108, 10250,"",  4885,"",  5370,"",
"Ethnic or cultural origin","  Filipino",,  2815,"",  1170,"",  1640,"",
"Ethnic or cultural origin","  French Canadian",,  2295,"",  1140,"",  1150,"",
"Ethnic or cultural origin","  Caucasian (White), n.o.s.",109,  3960,"",  2035,"",  1925,"",
"Ethnic or cultural origin","  First Nations (North American Indian), n.o.s.",110,  4230,"",  1940,"",  2290,"",
"Ethnic or cultural origin","  Métis",,  5810,"",  2800,"",  3010,"",
"Ethnic or cultural origin","  European, n.o.s.",111,  5465,"",  2640,"",  2830,"",
"Ethnic or cultural origin","  Russian",,  8225,"",  4040,"",  4190,"",
"Ethnic or cultural origin","  Norwegian",,  8045,"",  3895,"",  4150,"",
"Ethnic or cultural origin","  Welsh",,  5530,"",  2620,"",  2910,"",
"Ethnic or cultural origin","  Portuguese",,  1620,"",   810,"",   810,"",
"Ethnic or cultural origin","  American",,  3880,"",  1900,"",  1980,"",
"Ethnic or cultural origin","  Spanish",,  1655,"",   735,"",   925,"",
"Ethnic or cultural origin","  Swedish",,  6100,"",  2790,"",  3315,"",
"Ethnic or cultural origin","  Hungarian",,  3665,"",  1855,"",  1810,"",
"Ethnic or cultural origin","  Acadian",,   310,"",   140,"",   165,"",
"Ethnic or cultural origin","  Pakistani",,   350,"",   195,"",   160,"",
"Ethnic or cultural origin","  African, n.o.s.",112,   705,"",   345,"",   355,"",
"Ethnic or cultural origin","  Jewish",,  1230,"",   650,"",   575,"",
"Ethnic or cultural origin","  Punjabi",,  1425,"",   680,"",   740,"",
"Ethnic or cultural origin","  Vietnamese",,   745,"",   330,"",   420,"",
"Ethnic or cultural origin","  Arab, n.o.s.",113,   260,"",   155,"",   110,"",
"Ethnic or cultural origin","  Greek",,   980,"",   445,"",   535,"",
"Ethnic or cultural origin","  Jamaican",,   725,"",   355,"",   365,"",
"Ethnic or cultural origin","  Asian, n.o.s.",114,   575,"",   250,"",   330,"",
"Ethnic or cultural origin","  Cree, n.o.s.",115,  1185,"",   640,"",   550,"",
"Ethnic or cultural origin","  Korean",,   920,"",   435,"",   480,"",
"Ethnic or cultural origin","  Romanian",,  1860,"",   950,"",   910,"",
"Ethnic or cultural origin","  Lebanese",,   550,"",   280,"",   265,"",
"Ethnic or cultural origin","  Iranian",,   570,"",   300,"",   270,"",
"Ethnic or cultural origin","  Christian, n.i.e.",116,   505,"",   240,"",   265,"",
"Ethnic or cultural origin","  Danish",,  2815,"",  1355,"",  1460,"",
"Ethnic or cultural origin","  North American Indigenous, n.o.s.",117,  1035,"",   535,"",   500,"",
"Ethnic or cultural origin","  Sikh",,  1095,"",   555,"",   540,"",
"Ethnic or cultural origin","  Austrian",,  3330,"",  1635,"",  1700,"",
"Ethnic or cultural origin","  Belgian",,  1280,"",   565,"",   715,"",
"Ethnic or cultural origin","  Haitian",,    70,"",    35,"",    30,"",
"Ethnic or cultural origin","  Hindu",,   345,"",   185,"",   165,"",
"Ethnic or cultural origin","  Mexican",,   955,"",   485,"",   470,"",
"Ethnic or cultural origin","  Mennonite",,  1185,"",   595,"",   595,"",
"Ethnic or cultural origin","  Swiss",,  1720,"",   865,"",   855,"",
"Ethnic or cultural origin","  Finnish",,  1730,"",   815,"",   915,"",
"Ethnic or cultural origin","  Sri Lankan",,    55,"",    25,"",    25,"",
"Ethnic or cultural origin","  Croatian",,  1235,"",   565,"",   675,"",
"Ethnic or cultural origin","  Japanese",,  1955,"",   880,"",  1080,"",
"Ethnic or cultural origin","  South Asian, n.o.s.",118,   200,"",    90,"",   115,"",
"Ethnic or cultural origin","  Mi'kmaq, n.o.s.",119,   195,"",    65,"",   125,"",
"Ethnic or cultural origin","  Northern European, n.o.s.",120,  1745,"",   905,"",   845,"",
"Ethnic or cultural origin","  Muslim",,    75,"",    35,"",    40,"",
"Ethnic or cultural origin","  Egyptian",,   110,"",    80,"",    35,"",
"Ethnic or cultural origin","  Latin, Central or South American, n.o.s.",121,   330,"",   130,"",   200,"",
"Ethnic or cultural origin","  Tamil",,    30,"",    15,"",    10,"",
"Ethnic or cultural origin","  Icelandic",,  1395,"",   660,"",   735,"",
"Ethnic or cultural origin","  Colombian",,   170,"",    80,"",    85,"",
"Ethnic or cultural origin","  Moroccan",,    45,"",    25,"",    20,"",
"Ethnic or cultural origin","  Czech",,  1465,"",   675,"",   790,"",
"Ethnic or cultural origin","  Syrian",,   455,"",   225,"",   230,"",
"Ethnic or cultural origin","  Guyanese",,    85,"",    35,"",    50,"",
"Ethnic or cultural origin","  Afghan",,    80,"",    40,"",    40,"",
"Ethnic or cultural origin","  Black, n.o.s.",122,   130,"",    60,"",    70,"",
"Ethnic or cultural origin","  Serbian",,   430,"",   220,"",   210,"",
"Ethnic or cultural origin","  Ojibway",,   300,"",   160,"",   140,"",
"Ethnic or cultural origin","  Newfoundlander",,   195,"",    95,"",   100,"",
"Ethnic or cultural origin","  Hong Konger",,   150,"",    60,"",    90,"",
"Ethnic or cultural origin","  Ontarian",,   205,"",    80,"",   125,"",
"Ethnic or cultural origin","  Persian",,   300,"",   185,"",   120,"",
